initial_stop_percent,stop_increment,traders,traders vencedores,ganho Médio,perda médio,retorno
7,70,19,9,272.3333333333333,-216.0,5.07
7,80,19,9,272.3333333333333,-216.0,5.07
7,90,20,9,286.0,-170.7,8.67
7,100,20,9,266.55555555555554,-169.9,7.000000000000001
7,110,20,8,292.875,-157.0909090909091,6.15
7,120,20,9,272.22222222222223,-157.0909090909091,7.22
7,130,20,8,292.875,-138.41666666666666,6.819999999999999
7,140,20,9,262.55555555555554,-135.9090909090909,8.68
7,150,20,8,274.875,-129.16666666666666,6.49
7,160,20,8,264.75,-134.25,5.07
7,170,20,8,267.125,-130.33333333333334,5.7299999999999995
7,180,20,8,267.125,-130.33333333333334,5.7299999999999995
7,190,20,7,316.42857142857144,-120.84615384615384,6.4399999999999995
8,10,16,9,254.22222222222223,-217.5,9.83
8,20,18,11,231.27272727272728,-265.8333333333333,9.49
8,30,18,11,231.27272727272728,-254.83333333333334,10.15
8,40,18,11,231.27272727272728,-254.83333333333334,10.15
8,50,19,11,246.0909090909091,-245.28571428571428,9.9
8,60,19,11,246.0909090909091,-241.57142857142858,10.16
8,70,19,11,246.0909090909091,-241.57142857142858,10.16
8,80,19,10,247.6,-225.0,6.76
8,90,19,9,272.3333333333333,-216.0,5.07
8,100,19,8,260.75,-207.0,0.16
8,110,20,9,266.55555555555554,-186.3,5.36
8,120,20,9,266.55555555555554,-190.9,4.9
8,130,20,9,272.6666666666667,-152.45454545454547,7.7700000000000005
8,140,20,8,292.875,-142.75,6.3
8,150,20,8,292.875,-144.58333333333334,6.08
8,160,20,9,262.55555555555554,-154.72727272727272,6.61
8,170,20,8,265.875,-134.91666666666666,5.08
8,180,20,8,264.75,-129.16666666666666,5.680000000000001
8,190,20,8,267.125,-130.33333333333334,5.7299999999999995
9,10,15,9,254.22222222222223,-210.2,12.370000000000001
9,20,15,9,254.22222222222223,-199.8,12.889999999999999
9,30,16,10,231.3,-253.2,10.47
9,40,16,10,231.3,-238.4,11.21
9,50,17,11,231.27272727272728,-238.8,13.5
9,60,17,11,231.27272727272728,-238.8,13.5
9,70,18,11,246.0909090909091,-222.83333333333334,13.700000000000001
9,80,18,11,246.0909090909091,-222.83333333333334,13.700000000000001
9,90,18,10,247.6,-202.42857142857142,10.59
9,100,18,10,247.6,-197.85714285714286,10.91
9,110,18,9,252.88888888888889,-182.375,8.17
9,120,18,8,238.875,-152.33333333333334,5.4
9,130,19,9,266.55555555555554,-147.88888888888889,10.68
9,140,19,10,256.3,-150.0,12.13
9,150,19,9,269.55555555555554,-135.9,10.67
9,160,19,8,292.875,-130.72727272727272,9.049999999999999
9,170,19,9,262.55555555555554,-141.7,9.46
9,180,19,9,246.55555555555554,-152.8,6.909999999999999
9,190,19,8,265.875,-128.1818181818182,7.17
10,10,15,9,254.22222222222223,-252.6,10.25
10,20,15,9,254.22222222222223,-243.0,10.73
10,30,15,9,254.22222222222223,-232.6,11.25
10,40,15,9,254.22222222222223,-272.2,9.27
10,50,16,10,231.3,-270.4,9.610000000000001
10,60,16,10,231.3,-266.2,9.82
10,70,17,11,231.27272727272728,-256.0,12.64
10,80,18,11,246.0909090909091,-244.66666666666666,12.389999999999999
10,90,18,11,246.0909090909091,-244.66666666666666,12.389999999999999
10,100,18,10,247.6,-225.28571428571428,8.99
10,110,18,10,247.6,-218.85714285714286,9.44
10,120,18,10,230.1,-217.0,7.82
10,130,18,9,252.88888888888889,-209.5,6.0
10,140,18,8,238.875,-173.22222222222223,3.52
10,150,18,9,224.66666666666666,-164.22222222222223,5.4399999999999995
10,160,19,9,271.0,-151.9,9.2
10,170,19,8,292.875,-138.45454545454547,8.200000000000001
10,180,19,8,292.875,-129.54545454545453,9.180000000000001
10,190,19,9,262.55555555555554,-150.3,8.6
11,10,15,9,254.22222222222223,-252.6,10.25
