datetime,open,high,low,close,tick_volume,spread,real_volume
2024-04-24 13:30:00,126255.0,126450.0,126150.0,126415.0,168600,5,656402
2024-04-24 14:00:00,126415.0,126580.0,126350.0,126465.0,237597,5,960291
2024-04-24 14:30:00,126465.0,126520.0,126305.0,126470.0,187434,5,757262
2024-04-24 15:00:00,126470.0,126505.0,126250.0,126485.0,214836,5,883345
2024-04-24 15:30:00,126485.0,126520.0,126350.0,126385.0,161876,5,650494
2024-04-24 16:00:00,126380.0,126495.0,126280.0,126450.0,157495,5,657741
2024-04-24 16:30:00,126455.0,126560.0,126390.0,126435.0,145117,5,601062
2024-04-24 17:00:00,126430.0,126450.0,126110.0,126185.0,151862,5,641872
2024-04-24 17:30:00,126185.0,126265.0,126125.0,126250.0,68650,5,258764
2024-04-24 18:00:00,126250.0,126265.0,126145.0,126215.0,37181,5,114741
2024-04-25 09:00:00,125915.0,126945.0,125755.0,126785.0,438720,5,1414132
2024-04-25 09:30:00,126785.0,127255.0,125870.0,125950.0,584458,5,1918990
2024-04-25 10:00:00,125950.0,125970.0,125280.0,125415.0,485405,5,1736886
2024-04-25 10:30:00,125420.0,125525.0,125040.0,125260.0,569806,5,2086360
2024-04-25 11:00:00,125260.0,125635.0,125215.0,125520.0,417650,5,1558172
2024-04-25 11:30:00,125520.0,125840.0,125460.0,125720.0,356251,5,1302635
2024-04-25 12:00:00,125720.0,126100.0,125720.0,126055.0,258525,5,1008553
2024-04-25 12:30:00,126055.0,126185.0,125925.0,126165.0,218870,5,828286
2024-04-25 13:00:00,126165.0,126190.0,125795.0,125860.0,221205,5,846731
2024-04-25 13:30:00,125860.0,125915.0,125750.0,125855.0,168127,5,642846
2024-04-25 14:00:00,125855.0,125955.0,125655.0,125855.0,225901,5,878572
2024-04-25 14:30:00,125855.0,126015.0,125780.0,125880.0,232990,5,945828
2024-04-25 15:00:00,125875.0,126045.0,125765.0,125895.0,216518,5,853809
